Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
K11-1173	IA3023	LG04-5187	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5187 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-1196	IA3023	LG04-5187	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5187 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-1204	IA3023	LG04-5187	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5187 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-1252	IA3023	LG04-5190	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5190 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-1289	IA3023	LG04-5190	( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , LG04-5190 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-1778	U98-311422	LD05-30578a	( U98-311422 , LD05-30578a )	-	-
K11-2216	K03-3825	LG04-5190	( K03-3825 ( K1433 , HS93-4118 ( IA2007 ( Pride_B152 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Dairyland_DSR304 ( Williams , - ) ) ) , LG04-5190 ( LG97-9384 ( LG90-2179 ( PI_437851_A , Ripley ) , Asgrow_A3322 ) , LG97-9301 ( LG89-7793 ( PI_391594 , Century ) , LG88-8958 ( PI_253665D , PI_283331 ) ) ) )	-	-
K11-2363T	435.TCS	LD05-30578a	( 435.TCS , LD05-30578a )	-	-
K1103	Union	Essex	( Union , Essex )	-	-
K1126	HW7847	Forrest	( HW7847 ( Evans , Williams ) , Forrest )	-	-
K1130	Forrest	Hobbit	( Forrest , Hobbit )	-	-
K1133	V75-345	S76-2120	( V75-345 ( Essex , Shore ) , S76-2120 ( D67-3297 , Essex ) )	-	-
K1144	K1062	S76-2203	( K1062 ( Tracy , Williams ) , S76-2203 ( D67-3297 , Essex ) )	-	-
K1145	Essex	Cumberland	( Essex , Cumberland )	-	-
K1146	Essex	K1062	( Essex , K1062 ( Tracy , Williams ) )	-	-
K1148	Essex	Cumberland	( Essex , Cumberland )	-	-
K1154	V76-482	Essex	( V76-482 ( Essex , SRF_400 ) , Essex )	-	-
K1161	Harper	Asgrow_A3127	( Harper , Asgrow_A3127 ( Williams , Essex ) )	-	-
K1164	Harper	Asgrow_A3127	( Harper , Asgrow_A3127 ( Williams , Essex ) )	-	-
K1166	Harper	Asgrow_A3127	( Harper , Asgrow_A3127 ( Williams , Essex ) )	-	-
K1169	Harper	Asgrow_A3127	( Harper , Asgrow_A3127 ( Williams , Essex ) )	-	-
K1170	Peking	Ripley	( Peking , Ripley )	-	-
K12-1028	5601T	R05-4114	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , R05-4114 ( R98-1523 ( Asgrow_A5403 , Hartz_H5545 ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	-
K12-1039	5601T	R05-4114	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , R05-4114 ( R98-1523 ( Asgrow_A5403 , Hartz_H5545 ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) )	-	-
K12-1099	R04-122	K08-1097	( R04-122 ( Ozark , R00-214F ) , K08-1097 )	-	-
K12-1101	R04-122	K08-1097	( R04-122 ( Ozark , R00-214F ) , K08-1097 )	-	-
K12-1207	5601T	K08-1097	( 5601T ( Hutcheson , TN89-39 ( TN81-2 ( Lee_74 , Mitchell ( Amsoy , Wayne ) ) , TN80-69 ( Essex , J74-40 ) ) ) , K08-1097 )	-	-
K12-1259	R04-122	K08-1097	( R04-122 ( Ozark , R00-214F ) , K08-1097 )	-	-
K12-1348	R04-357	JTN-5503	( R04-357 ( R97-1650 ( Pioneer_P9592 , Holladay ) , 98601 ( Asgrow_A5403 , Hutcheson ) ) , JTN-5503 ( Fowler , Manokin ) )	-	-
