Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
H8	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	LX339-10	-
H841635	Coker_237	Bedford	( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Bedford )	-	-
H9	Dunfield	Illini	( Dunfield ( PI_36846 , - ) , Illini ( A.K. , - ) )	-	-
H90-461	Mukden	Mandarin	( Mukden ( PI_50523 , - ) , Mandarin ( PI_36653 , - ) )	-	-
HA82-168018	Pella	A77-314013	( Pella , A77-314013 ( A73-21030 , Williams ) )	-	-
HBK_5991	Asgrow_A6297	Northrup_King_S59-95	( Asgrow_A6297 ( Young , Asgrow_A5474 ) , Northrup_King_S59-95 )	PI 612443, HBK X591-98, HBK5991	PVP 200000108; Hornbeck Seed Co.
HC74-634RE	Williams	Ransom	( Williams , Ransom )	-	-
HC74-643RE	Williams	Ransom	( Williams , Ransom )	-	doi:10.2135/cropsci2004.6990
HC74-678	Amsoy_71	Ransom	( Amsoy_71 , Ransom )	L74D-678	-
HC76-3840	L72U-2567	Hodgson	( L72U-2567 ( Williams , Ransom ) , Hodgson )	-	-
HC76-4449	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC77-1418	L72U-640	Essex	( L72U-640 , Essex )	-	-
HC77-2205	Hodgson	V68-1034	( Hodgson , V68-1034 ( York , PI_71506 ) )	-	-
HC77-878	Woodworth	V68-1034	( Woodworth , V68-1034 ( York , PI_71506 ) )	-	-
HC77-951	Woodworth	V68-1038	( Woodworth , V68-1038 ( York , Dare ) )	-	-
HC78-1093	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-1119	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-1279	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-1292	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-1318	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-1651	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-1884	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-1931	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-2509	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-2510	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-261	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-279	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-2836	L72U-2567	Ransom	( L72U-2567 ( Williams , Ransom ) , Ransom )	-	-
HC78-349	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-350	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-353	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-354	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-356	L72U-2567	Essex	( L72U-2567 ( Williams , Ransom ) , Essex )	-	-
HC78-660	Essex	L74D-619	( Essex , L74D-619 ( Williams , Ransom ) )	-	-
HC78-676	L70T543G	L74D-619	( L70T543G ( L15 , Amsoy_71 ) , L74D-619 ( Williams , Ransom ) )	-	doi:10.2135/cropsci2004.6990
