Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
E16030	06NB204846	LG08-3009	( 06NB204846 ( WW115926 , 98211-A01-36153 ( Syngenta_S21-A1 , 92032-A95-58316 ( AP2880 , Asgrow_A2872 ( Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Asgrow_A3501 ( Williams_82 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) , LG08-3009 ( Golden_Harvest_H2885 , LG00-8301 ( PI_574477 , PI_561377 ) ) )	-	-
E16031	06NB204846	LG08-3009	( 06NB204846 ( WW115926 , 98211-A01-36153 ( Syngenta_S21-A1 , 92032-A95-58316 ( AP2880 , Asgrow_A2872 ( Asgrow_A2943 ( Asgrow_A1564 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) , Asgrow_A3501 ( Williams_82 , Asgrow_A3127 ( Williams , Essex ) ) ) ) ) ) , LG08-3009 ( Golden_Harvest_H2885 , LG00-8301 ( PI_574477 , PI_561377 ) ) )	-	-
E16099	PI_550729	IA2102	( PI_550729 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) )	-	-
E16184	S20-20	E07051	( S20-20 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E16186	S20-20	E07051	( S20-20 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E16189	S20-20	IA2102	( S20-20 , IA2102 ( A04-545045 ( Pioneer_93B86 , A00-711022 ) , AgriPro_AP98180-A01-0613 ) )	-	-
E16265	E13902	E07051	( E13902 ( E11955 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E16266	E13902	E07051	( E13902 ( E11955 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E16267	E13902	E07051	( E13902 ( E11955 , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ) , E07051 ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) ( IA3023 ( Dairyland_DSR365 , Pioneer_P9381 ) ( Dairyland_DSR365 , Pioneer_P9381 ) , Loda ) )	-	-
E16346	PI_540453	LD02-4485	( PI_540453 , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
