Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
U11-610109	LD02-4485	U03-100612	( LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) , U03-100612 ( MSPB6S4 , Pioneer_P93B82 ) )	-	-
U11-610186R	U07-135478R	U08-917024R	( U07-135478R , U08-917024R )	-	-
U11-611178R	U07-135478R	U08-917024R	( U07-135478R , U08-917024R )	-	-
U11-614093	U02-242055	LD04-13265	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , LD04-13265 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , U98-205355 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , Bell ) ) )	-	-
U11-614119	U02-242055	LD04-13265	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , LD04-13265 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , U98-205355 ( A94-773014 ( Pioneer_P9303 , A87-395012 ( Fayette , Asgrow_A3659 ( Williams , Essex ) ) ) , Bell ) ) )	-	-
U11-616086	U02-242055	LD02-4485	( U02-242055 ( NE1900 ( MSBP1 , MSBP1 ) , Pioneer_P93B82 ) , LD02-4485 ( M90-184111 ( L85P-558 ( L73-4673 ( Corsoy , L66L-154 ( Wayne , L57-0034 ( Clark , Adams ) ) ) , Fayette ) , M86-1973 ( M75-89 ( Corsoy , M68-303 ( M60-406 ( Blackhawk , Harosoy ) , Beeson ) ) , L77-906 ) ) , IA3010 ) )	-	-
U11-619102	U03-300134	LD00-3309	( U03-300134 ( NE32022 , NE2802 ) , LD00-3309 ( Maverick ( LN86-4668 ( Fayette , Hardin ) , Resnik ) , Dwight ) )	-	-
U11-629168R	U07-439042R	U07-135478R	( U07-439042R , U07-135478R )	-	-
U11-638173R	U07-236486R	U07-135478R	( U07-236486R , U07-135478R )	-	-
U11-643172R	U07-236486R	U08-924029R	( U07-236486R , U08-924029R )	-	-
U11-902111R	U07-338254R	U07-135478R	( U07-338254R , U07-135478R )	-	-
