Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
V17-0156HP	V10-1687	R09-3513	( V10-1687 ( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , V02-8659 ) , R09-3513 )	-	-
V17-0334	R05-3239	R09-1223	( R05-3239 ( Ozark , Anand ) , R09-1223 )	-	-
V17-0432	R05-3239	TN09-008	( R05-3239 ( Ozark , Anand ) , TN09-008 )	-	-
V17-0437	R05-3239	TN09-008	( R05-3239 ( Ozark , Anand ) , TN09-008 )	-	-
V17-0454	R05-3239	TN09-008	( R05-3239 ( Ozark , Anand ) , TN09-008 )	-	-
V17-0460	JTN-5203	Hanover	( JTN-5203 ( R93-171 , Anand ) , Hanover )	-	-
V17-0476	V10-1687	R05-3239	( V10-1687 ( V98-2711 ( V88-466 ( Coker_237 ( Hutton , N63-858 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Toano ( Ware , Essex ) ) , Pioneer_P9461 ) , V02-8659 ) , R05-3239 ( Ozark , Anand ) )	-	-
V17-1195TI	Glenn	PI_547656	( Glenn , PI_547656 )	-	-
V17-2099DTR	V11-3522	N92-8231	( V11-3522 , N92-8231 )	-	-
V17-2131R	Monocacy	V11-3163	( Monocacy , V11-3163 )	-	-
V17-2350R	S09-6201	V11-3163	( S09-6201 ( S04-20912RR , S05-4630RR ) , V11-3163 )	-	-
V17-2361R	S09-6201	V11-3163	( S09-6201 ( S04-20912RR , S05-4630RR ) , V11-3163 )	-	-
V17-2379R	S09-6201	V11-3163	( S09-6201 ( S04-20912RR , S05-4630RR ) , V11-3163 )	-	-
V17-2460R	S10-11200	V11-3163	( S10-11200 ( S04-8882 ( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , LG97-7012 ( LG89-1525 ( PI_90566 , L74-3897 ( Williams , Beeson ) ) , Asgrow_A3322 ) ) , R00-1194F ( Asgrow_A4715 , DPL_3478 ) ) , V11-3163 )	-	-
V17-2478R	S10-11200	V11-3163	( S10-11200 ( S04-8882 ( S99-2281 ( N90-516 ( Hutcheson , N83-1014 ( GaSoy_17 ( Bragg , Hood ) , N77-940 ( N70-1540 ( Dare , D65-6765 ( D58-3358 , D59-9289 ( D51-4877 ( Roanoke , N45-745 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) ( Tokyo ( PI_8424 , - ) ( PI_8424 , - ) , PI_54610 ) , C.N.S. ( Clemson ( PI_71659 , - ) , - ) ) ) , D55-4168 ( Ogden ( Tokyo ( PI_8424 , - ) , PI_54610 ) , Biloxi ( PI_23211 , - ) ) ) ) ) , Centennial ) ) ) , S92-1069 ( Manokin , Hartwig ) ) , LG97-7012 ( LG89-1525 ( PI_90566 , L74-3897 ( Williams , Beeson ) ) , Asgrow_A3322 ) ) , R00-1194F ( Asgrow_A4715 , DPL_3478 ) ) , V11-3163 )	-	-
