Individual	Parent1	Parent2	Pedigree	Synonyms	Comment
SD03-3221	SDX98-75-11-2	SDX98-82-9-2	( SDX98-75-11-2 ( M93-141-16-3 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ( Elf , Williams_82 ) ) ) , SDX98-82-9-2 ( U97-2519 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ) )	-	-
SD03-730	SDX98-82-9-2	SDX98-75-34-1	( SDX98-82-9-2 ( U97-2519 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ( Elf , Williams_82 ) ) ) , SDX98-75-34-1 ( M93-141-16-3 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ) )	-	-
SD05-240	A00-711063	SD98-595	( A00-711063 ( Pioneer_P9233 , A95-485020 ) , SD98-595 ( Kato , Asgrow_A1929 ) )	-	-
SD06-393	SDX98-74151	M96-71481	( SDX98-74151 ( IA_2034 , C1954 ) , M96-71481 )	-	-
SD06-415	SDX98-76192	N98-4445A	( SDX98-76192 ( Pioneer_P9071 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ) , N98-4445A )	-	-
SD06-418	SDX98-76192	N98-4445A	( SDX98-76192 ( Pioneer_P9071 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) ) , N98-4445A )	-	-
SD07CV-539	IA2052	Pioneer_P9092	( IA2052 , Pioneer_P9092 )	-	-
SD07CV-631	M96-355009	Pioneer_P9233	( M96-355009 ( M91-116124 ( Faribault ( M75-2 , L77-906 ) , Archer ) , MN1301 ( M84-492 ( A79-136012 ( Pride_B216 ( Corsoy , Wayne ) , Land_O_Lakes_4102 ) , M75-2 ) , M74-498 ) ) , Pioneer_P9233 )	-	-
SD07CV-935	Pion_9233	A02-381100-1539	( Pion_9233 , A02-381100-1539 ( IA2064 , XB27U01 ) )	-	-
SD08CV-0015	M97-136016	SD96-135-3	( M97-136016 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) , SD96-135-3 )	-	-
SD08CV-0018	M97-136016	SD96-135-3	( M97-136016 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) , SD96-135-3 )	-	-
SD08CV-1041	M96-355009	M97-357138	( M96-355009 ( M91-116124 ( Faribault ( M75-2 , L77-906 ) , Archer ) , MN1301 ( M84-492 ( A79-136012 ( Pride_B216 ( Corsoy , Wayne ) , Land_O_Lakes_4102 ) , M75-2 ) , M74-498 ) ) , M97-357138 ( IA1006 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , Surge ) )	-	-
SD08CV-1043	M96-355009	M97-357138	( M96-355009 ( M91-116124 ( Faribault ( M75-2 , L77-906 ) , Archer ) , MN1301 ( M84-492 ( A79-136012 ( Pride_B216 ( Corsoy , Wayne ) , Land_O_Lakes_4102 ) , M75-2 ) , M74-498 ) ) , M97-357138 ( IA1006 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , Surge ) )	-	-
SD08CV-2102	M97-136016	SD96-135-3	( M97-136016 ( M90-162034 ( Burlison ( K74-113-76-486 , Century ) , M84-93 ( M71-148 ( Clay , Evans ) , Ozzie ) ) , IA2021 ) , SD96-135-3 )	-	-
SD09CV-0012	Lambert	SDX02FA-5-4	( Lambert , SDX02FA-5-4 )	-	-
SD09CV-0133	Surge	Loda	( Surge , Loda )	-	-
SD09CV-1040	IA1008	Surge	( IA1008 , Surge )	-	-
SD1161RR	IA1008	SD1081RR	( IA1008 , SD1081RR )	-	-
SD87-001	Fiskeby	IX93-100	( Fiskeby , IX93-100 ( A71-555-8-1 , L61-344 ) )	-	-
SD92-1272	Sibley	Kato	( Sibley , Kato )	-	-
SD92-1323	Kasota	Kato	( Kasota , Kato )	-	-
SD93-1037	Parker	Sibley	( Parker , Sibley )	-	-
SD93-1040	Parker	Sibley	( Parker , Sibley )	-	-
SD93-1040RR	Parker	Sibley	( Parker , Sibley )	-	-
SD93-1043	Parker	Sibley	( Parker , Sibley )	-	-
SD93-1387	Archer	Hodgson_78	( Archer , Hodgson_78 )	-	-
SD93-490	Glenwood	Jack	( Glenwood , Jack )	-	-
SD93-522	Turner	-	( Turner , - )	-	-
SD93-828	Parker	Archer	( Parker , Archer )	-	-
SD93-828E	Parker	Archer	( Parker , Archer )	-	-
SD93-851	Parker	Archer	( Parker , Archer )	-	-
SD93-954	Kasota	Kato	( Kasota , Kato )	-	-
SD94-020R	SD94-186	SD94-1208RR	( SD94-186 ( Sibley , Archer ) , SD94-1208RR )	-	-
SD94-027R	SD94-186	SD94-1208RR	( SD94-186 ( Sibley , Archer ) , SD94-1208RR )	-	-
SD94-1276	Sturdy	PI_153296	( Sturdy , PI_153296 )	-	-
SD94-1370	SD87-001	Leslie	( SD87-001 ( Fiskeby , IX93-100 ( A71-555-8-1 , L61-344 ) ) , Leslie ( Hodgson_78 , Pella ) )	-	-
SD94-1467	Archer	Glenwood	( Archer , Glenwood )	-	-
SD94-1480	Archer	Glenwood	( Archer , Glenwood )	-	-
SD94-1520	Archer	BSR_101	( Archer , BSR_101 )	-	-
SD94-186	Sibley	Archer	( Sibley , Archer )	-	-
SD94-238	Lambert	PI_437666	( Lambert , PI_437666 )	-	-
SD94-27	Sturdy	Sibley	( Sturdy , Sibley )	-	-
SD94-280	Glenwood	Leslie	( Glenwood , Leslie ( Hodgson_78 , Pella ) )	-	-
SD94-461	Glenwood	Jack	( Glenwood , Jack )	-	-
SD94-477	Glenwood	Jack	( Glenwood , Jack )	-	-
SD94-57	Simpson	Elgin_87	( Simpson , Elgin_87 )	-	-
SD94-667	Kato	Conrad	( Kato , Conrad )	-	-
SD94-782	ORC_9002	Agassiz	( ORC_9002 ( A81-151026 ( A75-204018 ( IVR_4731 ( Amsoy , Wayne ) , Wirth ) , Century ) , Eglin ( AP6 , - ) ) , Agassiz )	-	-
SD94-808	Parker	Archer	( Parker , Archer )	-	-
SD94-817	Glenwood	Sibley	( Glenwood , Sibley )	-	-
SD95-1276	Sturdy	PI_153296	( Sturdy , PI_153296 )	-	-
SD95-1518	Glenwood	Parker	( Glenwood , Parker )	-	-
SD95-1520	Glenwood	Parker	( Glenwood , Parker )	-	-
SD95-781	Lambert	Parker	( Lambert , Parker )	-	-
SD96-119	IA2008	HS88-4909	( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , HS88-4909 ( Conrad , Hayes ) )	-	-
SD96-153-3	Surge	Hendricks	( Surge , Hendricks )	-	-
SD96-170	IA2008	HS88-4909	( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , HS88-4909 ( Conrad , Hayes ) )	-	-
SD96-33	IA2008	Hendricks	( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Hendricks )	-	-
SD96-702	ORC9002	Ozzie	( ORC9002 , Ozzie )	-	-
SD96-77	IA2008	Ozzie	( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Ozzie )	-	-
SD96-782	ORC9002	Agassiz	( ORC9002 , Agassiz )	-	-
SD97-2998	SL91-1574M	PI_438025	( SL91-1574M ( L15 , Glenwood ) , PI_438025 )	-	-
SD97-92-2	M92-597	C1944	( M92-597 ( Pioneer_P6061 , Ozzie ) , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SD98-595	Kato	Asgrow_A1929	( Kato , Asgrow_A1929 )	-	-
SD98-74-16-1	SD92-1272M	PI_438025	( SD92-1272M , PI_438025 )	-	-
SD98-76342	Pioneer_P9071	C1944	( Pioneer_P9071 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SD99-002R	SD94-186	SD94-1208RR	( SD94-186 ( Sibley , Archer ) , SD94-1208RR )	-	-
SD99-003R	SD94-186	SD94-1208RR	( SD94-186 ( Sibley , Archer ) , SD94-1208RR )	-	-
SD99-007R	SD94-186	SD93-1208RR	( SD94-186 ( Sibley , Archer ) , SD93-1208RR )	-	-
SD99-009R	SD94-808	SD93-1040RR	( SD94-808 ( Parker , Archer ) , SD93-1040RR ( Parker , Sibley ) )	-	-
SD99-010R	SD94-808	SD93-1040RR	( SD94-808 ( Parker , Archer ) , SD93-1040RR ( Parker , Sibley ) )	-	-
SD99-011R	SD94-808	SD93-1040RR	( SD94-808 ( Parker , Archer ) , SD93-1040RR ( Parker , Sibley ) )	-	-
SD99-017R	SD94-808	SD93-1040RR	( SD94-808 ( Parker , Archer ) , SD93-1040RR ( Parker , Sibley ) )	-	-
SD99-018R	SD94-1370	SD93-1208RR	( SD94-1370 ( SD87-001 ( Fiskeby , IX93-100 ( A71-555-8-1 , L61-344 ) ) , Leslie ( Hodgson_78 , Pella ) ) , SD93-1208RR )	-	-
SD99-1236	Norsoy	Erie	( Norsoy , Erie ( A78-123018 ( Pride_B216 ( Corsoy , Wayne ) , Hodgson ) , Century_84 ) )	-	-
SD99-469	SD93-954	Marcus_95	( SD93-954 ( Kasota , Kato ) , Marcus_95 )	-	-
SD99-700	SD93-954	Elgin_87	( SD93-954 ( Kasota , Kato ) , Elgin_87 )	-	-
SDX00R-015-44	SD96-702	SD93-828E	( SD96-702 ( ORC9002 , Ozzie ) , SD93-828E ( Parker , Archer ) )	-	-
SDX00R-015-49	SD96-702	SD93-828E	( SD96-702 ( ORC9002 , Ozzie ) , SD93-828E ( Parker , Archer ) )	-	-
SDX00R-017-18	A97-770051	SD93-823E	( A97-770051 , SD93-823E )	-	-
SDX00R-017-5	A97-770051	SD93-823E	( A97-770051 , SD93-823E )	-	-
SDX00R-026-42	SD1081RR	IA1008	( SD1081RR , IA1008 )	-	-
SDX00R-029-3	Pioneer_P9151	SD93-828E	( Pioneer_P9151 , SD93-828E ( Parker , Archer ) )	-	-
SDX00R-030-47	IA2021	SD93-828E	( IA2021 , SD93-828E ( Parker , Archer ) )	-	-
SDX00R-035-1	A97-771039	Hendricks_RR	( A97-771039 ( A92-627030 ( Kenwood , Asgrow_A3205 ( Northrup_King_S1474 , Asgrow_A3127 ( Williams , Essex ) ) ) , ORC9205 ( Conrad , RCAT_Alliance ( Wells_II , Williams_82 ) ) ) , Hendricks_RR )	-	-
SDX00R-035-24	A97-771039	Hendricks_RR	( A97-771039 ( A92-627030 ( Kenwood , Asgrow_A3205 ( Northrup_King_S1474 , Asgrow_A3127 ( Williams , Essex ) ) ) , ORC9205 ( Conrad , RCAT_Alliance ( Wells_II , Williams_82 ) ) ) , Hendricks_RR )	-	-
SDX00R-039-42	IA2021	SD93-828R	( IA2021 , SD93-828R )	-	-
SDX00R-039-42RR	IA2021	SD93-828R	( IA2021 , SD93-828R )	-	-
SDX00R-039-47	IA2021	SD93-828E	( IA2021 , SD93-828E ( Parker , Archer ) )	-	-
SDX01R-024	Traill	SD1081RR	( Traill ( M82-996 ( M72-3 ( Evans , Hodgson ) , Peterson_1677 ) , Sigco_KG20 ( McCall , 2S11 ( 059-903 , Hardome ) ) ) , SD1081RR )	-	-
SDX98-74151	IA2034	C1954	( IA_2034 , C1954 )	-	-
SDX98-75-11-2	M93-141-16-3	C1944	( M93-141-16-3 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SDX98-75-34-1	M93-141-16-3	C1944	( M93-141-16-3 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SDX98-76192	Pioneer_P9071	C1944	( Pioneer_P9071 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SDX98-82-9-2	U97-2519	C1944	( U97-2519 , C1944 ( CRS3-998-24-1 , HC85-2206 ( Elf , Williams_82 ) ) )	-	-
SECAN_00-10	A92-525014	OAC_Vision	( A92-525014 ( IA2008 ( BSR_101 , A80-244003 ( Northrup_King_S1492 ( Corsoy , Wayne ) , Pella ) ) , Kenwood ) , OAC_Vision )	-	-
SECAN_00-35	OAC_95-06	OAC_Bright	( OAC_95-06 ( OT89-18 ( Maple_Arrow , X881-57 ) , OAC_Shire ) , OAC_Bright )	-	-
SECAN_02-09	ND91-2721	OAC_92-01	( ND91-2721 , OAC_92-01 ( OAC_Eclipse , OT84-12 ) )	-	-
SECAN_02-13	OAC_Millennium	OAC_Stratford	( OAC_Millennium , OAC_Stratford )	-	-
SJ007208	LN89-5717	Syngenta_S33-P2	( LN89-5717 , Syngenta_S33-P2 )	-	-
SJ030546	Syngenta_S32-Z3	Asgrow_A4341	( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Asgrow_A4341 )	-	-
SJ031808	CX369c	Syngenta_S38-T8	( CX369c ( - , -_ ) , Syngenta_S38-T8 )	-	-
SJ034187	Syngenta_S30-Y8	J420649	( Syngenta_S30-Y8 ( Pioneer_P9362 , Syngenta_S35-35 ) , J420649 ( 91608 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) )	-	-
SJ034878	Syngenta_S32-Z3	Syngenta_S38-E9	( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Syngenta_S38-E9 )	-	-
SJ0800018	SJ030546	WW115926	( SJ030546 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) , Asgrow_A4341 ) , WW115926 )	-	-
SJ0800019	SJ034878	WW115335	( SJ034878 ( Syngenta_S32-Z3 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ( Williams , Essex ) ) ) , Syngenta_S38-E9 ) , WW115335 ( Pioneer_P93B45 , Syngenta_S25-J5 ( Exp_13404 , Pioneer_P9273 ( Pioneer_P2981 , Asgrow_A3127 ( Williams , Essex ) ) ) ) )	-	-
